id;sentence;acceptable;error_type;detailed_sou;predict;coincide;;;;;CoLA;;;;;;;;
153;He just had left.;0;Syntax;mit222n3m;1;0;0;0;1;0;;;;;;;;;
154;Have you had a breakfast yet?;0;Morphology;mit222n3m;1;0;0;0;1;0;;;;;;;;;
155;Who were you waiting for?;1;0;mit222n3m;1;1;0;1;0;0;;;;;;;;;
156;He is never late.;1;0;mit222n3m;1;1;0;1;0;0;;;;;;;;;
157;Yesterday my sister celebrated her birthday.;1;0;mit222n3m;1;1;0;1;0;0;;;;;;;;;
158;In the evening I often go to see my friends.;1;0;mit222n3m;1;1;0;1;0;0;;;;;;;;;
159;Where are you going?;1;0;mit222n3m;1;1;0;1;0;0;;;;;;;;;
160;Answer any questions he may ask.;1;0;mit222n3m;1;1;0;1;0;0;;;;;;;;;
161;She is rather shorter than me.;0;Semantics;mit222n5m;1;0;0;0;1;0;;;;;;;;;
162;There is my new monument in a square.;0;Morphology;mit222n5m;1;0;0;0;1;0;;;;;;;;;
163;There is a snow on the top of your car.;0;Morphology;mit222n5m;1;0;0;0;1;0;;;;;;;;;
164;We are family of three.;0;Morphology;mit222n5m;1;0;0;0;1;0;;;;;;;;;
165;There aren't fuel in my car.;0;Syntax;mit222n5m;0;1;1;0;0;0;;;;;;;;;
166;Unfortunately, I am seat at home and studying online.;0;Syntax;mit222n5m;0;1;1;0;0;0;;;;;;;;;
167;It's the energy of the movement of particles in a random direction generates warm.;0;Syntax;mit222n5m;0;1;1;0;0;0;;;;;;;;;
168;When I ride in a car, for example, I like to listen music.;0;Morphology;mit222n5m;1;0;0;0;1;0;;;;;;;;;
169;Make a lot of drafts, this will give you a choise between the best.;0;Semantics;mit222n5m;0;1;1;0;0;0;;;;;;;;;
170;Every season is the best to visit my city.;0;Semantics;mit222n5m;0;1;1;0;0;0;;;;;;;;;
171;At summer you can go to any lake and swimming all day.;0;Morphology;mit222n5m;1;0;0;0;1;0;;;;;;;;;
172;My aunt's son is my nephew.;0;Semantics;mit222n5m;1;0;0;0;1;0;;;;;;;;;
173;That's why I've got mine Italian name.;0;Morphology;mit222n5m;0;1;1;0;0;0;;;;;;;;;
174;She is very sociable person.;0;Morphology;mit222n5m;0;1;1;0;0;0;;;;;;;;;
175;She is a good-looking woman with dark brown hair.;1;0;mit222n5m;1;1;0;1;0;0;;;;;;;;;
176;She is neither old nor young.;1;0;mit222n5m;1;1;0;1;0;0;;;;;;;;;
177;Tom has been watching TV for three hours.;1;0;mit222n5m;1;1;0;1;0;0;;;;;;;;;
178;I have already showed him the photos.;1;0;mit222n5m;1;1;0;1;0;0;;;;;;;;;
179;Choose a catchy but conceptual title.;1;0;mit222n5m;1;1;0;1;0;0;;;;;;;;;
180;Buy two bottles of milk, please.;1;0;mit222n5m;1;1;0;1;0;0;;;;;;;;;
181;My family is consist of six people.;0;Syntax;mit222n8m;0;1;1;0;0;0;;;;;;;;;
182;She is rather not high.;0;Semantics;mit222n8m;1;0;0;0;1;0;;;;;;;;;
183;Text-book is on the table.;0;Morphology;mit222n8m;0;1;1;0;0;0;;;;;;;;;
184;This is nice city.;0;Morphology;mit222n8m;0;1;1;0;0;0;;;;;;;;;
185;This classroom is them.;0;Morphology;mit222n8m;1;0;0;0;1;0;;;;;;;;;
186;I prefer to go on lessons without breakfast.;0;Morphology;mit222n8m;1;0;0;0;1;0;;;;;;;;;
187;I have such boring day.;0;Morphology;mit222n8m;0;1;1;0;0;0;;;;;;;;;
188;It can be as a work related poster or educational poster.;0;Semantics;mit222n8m;1;0;0;0;1;0;;;;;;;;;
189;She doesn't looks after the patients well.;0;Syntax;mit222n8m;0;1;1;0;0;0;;;;;;;;;
190;When I have free time I like to playing computer games or sleeping.;0;Morphology;mit222n8m;1;0;0;0;1;0;;;;;;;;;
191;My brother are study at school.;0;Syntax;mit222n8m;0;1;1;0;0;0;;;;;;;;;
192;My mother meet my father when they were students.;0;Syntax;mit222n8m;0;1;1;0;0;0;;;;;;;;;
193;I like play at basketball.;0;Morphology;mit222n8m;1;0;0;0;1;0;;;;;;;;;
194;My alarm clock wakes me up and I start to learning.;0;Morphology;mit222n8m;0;1;1;0;0;0;;;;;;;;;
195;We are all different, but we love each other very much.;1;0;mit222n8m;1;1;0;1;0;0;;;;;;;;;
196;Spend more time with your family and swear less!;1;0;mit222n8m;1;1;0;1;0;0;;;;;;;;;
197;We really enjoyed our walk.;1;0;mit222n8m;1;1;0;1;0;0;;;;;;;;;
198;Write your names at the top!;1;0;mit222n8m;1;1;0;1;0;0;;;;;;;;;
199;He will have received the letter by tomorrow.;1;0;mit222n8m;1;1;0;1;0;0;;;;;;;;;
200;Here is your watch.;1;0;mit222n8m;1;1;0;1;0;0;;;;;;;;;
201;Do I have to show you all my things? ;1;0;kht722_3m;1;1;0;1;0;0;;;;;;;;;
202;Please, open this suitcase.;1;0;kht722_3m;1;1;0;1;0;0;;;;;;;;;
203;I'm going to London.;1;0;kht722_3m;1;1;0;1;0;0;;;;;;;;;
204;I don't think so. ;1;0;kht722_3m;1;1;0;1;0;0;;;;;;;;;
205;I'm sorry, I don't know.;1;0;kht722_3m;1;1;0;1;0;0;;;;;;;;;
206;I am waiting for my friend. ;1;0;kht722_3m;1;1;0;1;0;0;;;;;;;;;
207;He was discussing the problem with his group-mates when the teacher came in.;1;0;kht722_3m;1;1;0;1;0;0;;;;;;;;;
208;Do you know who was singing in the yard all night long?;1;0;kht722_3m;1;1;0;1;0;0;;;;;;;;;
209;It takes me forty minutes to get to school. ;1;0;kht722_3m;1;1;0;1;0;0;;;;;;;;;
210;She is doing her homework next door.;1;0;kht722_3m;1;1;0;1;0;0;;;;;;;;;
211;I'm looking for him.;1;0;kht722_3m;1;1;0;1;0;0;;;;;;;;;
212;Andrew gets up very early as he lives far from his office. ;1;0;kht722_3m;1;1;0;1;0;0;;;;;;;;;
213;It is six o'clock in the evening now.;1;0;kht722_3m;1;1;0;1;0;0;;;;;;;;;
214;If you have to go abroad, you should know that you will have to go through the customs.;1;0;kht722_3m;1;1;0;1;0;0;;;;;;;;;
215;Answer honestly and politely, no matter what they ask. ;1;0;kht722_3m;1;1;0;1;0;0;;;;;;;;;
216;Do not run and do not shout bad words at the officers. ;1;0;kht722_3m;1;1;0;1;0;0;;;;;;;;;
217;I was copying files when the computer suddenly shut down. ;1;0;kht722_3m;1;1;0;1;0;0;;;;;;;;;
218;Have a good trip!;1;0;kht722_3m;1;1;0;1;0;0;;;;;;;;;
219;Most people go hiking for pleasure or physical fitness. ;1;0;kht722_3m;1;1;0;1;0;0;;;;;;;;;
220;As mercury is commonly used in barometers, air pressure is often recorded in centimeters of mercury.;1;0;kht722_3m;1;1;0;1;0;0;;;;;;;;;
221;It seems to me that I do not have any hobby.;1;0;kht722_5m;1;1;0;1;0;0;;;;;;;;;
222;I don't have a dictionary, so I have to buy one. ;1;0;kht722_5m;1;1;0;1;0;0;;;;;;;;;
223;Your title should match the content. ;1;0;kht722_5m;1;1;0;1;0;0;;;;;;;;;
224;These methods are often applied in production.;1;0;kht722_5m;1;1;0;1;0;0;;;;;;;;;
225;If you book a room before coming to the hotel, you will save some money.;1;0;kht722_5m;1;1;0;1;0;0;;;;;;;;;
226;I don't know much about hotels and their rules.;1;0;kht722_5m;1;1;0;1;0;0;;;;;;;;;
227;But always we should stay a people. ;0;Morphology;kht722_5m;0;1;1;0;0;0;;;;;;;;;
228;What impact do social networking sites have on my life?;1;0;kht722_5m;1;1;0;1;0;0;;;;;;;;;
229;There are more mobile phones than computers in the world. ;1;0;kht722_5m;1;1;0;1;0;0;;;;;;;;;
230;I recommend using only native web browsers on your mobile devices. ;1;0;kht722_5m;1;1;0;1;0;0;;;;;;;;;
231;I think I have answered the question. ;1;0;kht722_5m;1;1;0;1;0;0;;;;;;;;;
232;I don't like using the mobile phone as a search device.;1;0;kht722_5m;1;1;0;1;0;0;;;;;;;;;
233;Oh, how dark it is!;1;0;kht722_5m;1;1;0;1;0;0;;;;;;;;;
234;Show me the dress which you have made. ;1;0;kht722_5m;1;1;0;1;0;0;;;;;;;;;
235;The morning was cold and rainy.;1;0;kht722_5m;1;1;0;1;0;0;;;;;;;;;
236;People may even become addicted to social networks.;1;0;kht722_5m;1;1;0;1;0;0;;;;;;;;;
237;If I need to talk to someone, I prefer to use a regular call or an instant messenger.;1;0;kht722_5m;1;1;0;1;0;0;;;;;;;;;
238;When I was young, social networks became a discovery for me. ;1;0;kht722_5m;1;1;0;1;0;0;;;;;;;;;
239;One day I cached myself in mind that I spend some time on it and don't have any practical results. ;0;Syntax;kht722_5m;0;1;1;0;0;0;;;;;;;;;
240;Some of my friends stopped using them. ;1;0;kht722_5m;1;1;0;1;0;0;;;;;;;;;
241;It took us about 22 hours to get there.;1;0;kht722_4w;1;1;0;1;0;0;;;;;;;;;
242;We took a cable car and rose on the top.;1;0;kht722_4w;1;1;0;1;0;0;;;;;;;;;
243;It was breath-taking.;1;0;kht722_4w;1;1;0;1;0;0;;;;;;;;;
244;The lake was surrounded by huge trees.;1;0;kht722_4w;1;1;0;1;0;0;;;;;;;;;
245;It is a very important procedure.;1;0;kht722_4w;1;1;0;1;0;0;;;;;;;;;
246;You have to be aware of it.;1;0;kht722_4w;1;1;0;1;0;0;;;;;;;;;
247;They may ask you to show your luggage.;1;0;kht722_4w;1;1;0;1;0;0;;;;;;;;;
248;Be ready to answer the questions about the purpose of your visit and about the place where you are going to stay.;1;0;kht722_4w;1;1;0;1;0;0;;;;;;;;;
249;You have to follow the instructions of the customs officer.;1;0;kht722_4w;1;1;0;1;0;0;;;;;;;;;
250;If you follow these instructions you will have smooth experience in going through the customs.;1;0;kht722_4w;1;1;0;1;0;0;;;;;;;;;
251;Well, I wish you luck.;1;0;kht722_4w;1;1;0;1;0;0;;;;;;;;;
252;What do you think about the future of social networks?;1;0;kht722_4w;1;1;0;1;0;0;;;;;;;;;
253;You can find inspirations looking at the beautiful pictures like that.;1;0;kht722_4w;1;1;0;1;0;0;;;;;;;;;
254;What is the weather like?;1;0;kht722_4w;1;1;0;1;0;0;;;;;;;;;
255;What are you thinking about?;1;0;kht722_4w;1;1;0;1;0;0;;;;;;;;;
256;No one knew about it.;1;0;kht722_4w;1;1;0;1;0;0;;;;;;;;;
257;I would like to tell you about the main stages of cheese-making process.;1;0;kht722_4w;1;1;0;1;0;0;;;;;;;;;
258;After that the product is salted to make its taste better.;1;0;kht722_4w;1;1;0;1;0;0;;;;;;;;;
259;How are cartridges made? ;1;0;kht722_2m;1;1;0;1;0;0;;;;;;;;;
260;This process is accompanied by very loud sounds.;1;0;kht722_2m;1;1;0;1;0;0;;;;;;;;;
261;The temperature inside the presses reaches 700 degrees Celsius. ;1;0;kht722_2m;1;1;0;1;0;0;;;;;;;;;
262;Cartridges are inspected for defects in a special laboratory.;1;;kht722_2m;1;1;0;1;0;0;;;;;;;;;
263;She already have been doing her homework for two hours, but she hasn?t done yet half of it.;0;Syntax;kht722_2m;0;1;1;0;0;0;;;;;;;;;
264;I have been living in Paris since 1990.;1;0;kht722_2m;1;1;0;1;0;0;;;;;;;;;
265;It is better to do it in advance.;1;0;kht722_2m;1;1;0;1;0;0;;;;;;;;;
266;What were you doing at eight o'clock yesterday?;1;0;kht722_2m;1;1;0;1;0;0;;;;;;;;;
267;What your sister is doing now?;0;Syntax;kht722_2m;1;0;0;0;1;0;;;;;;;;;
268;Where Boris is?;0;Syntax;kht722_2m;1;0;0;0;1;0;;;;;;;;;
269;He is having lunch at the canteen.;1;0;kht722_2m;1;1;0;1;0;0;;;;;;;;;
270;It is usually takes me an hour.;0;Syntax;kht722_2m;0;1;1;0;0;0;;;;;;;;;
271;He is a doctor.;1;0;kht722_2m;1;1;0;1;0;0;;;;;;;;;
272;Here is the book you are looking for.;1;0;kht722_2m;1;1;0;1;0;0;;;;;;;;;
273;This article is not interesting.;1;0;kht722_2m;1;1;0;1;0;0;;;;;;;;;
274;Please, give me a black pencil.;1;0;kht722_2m;1;1;0;1;0;0;;;;;;;;;
275;Are there any students in the classroom?;1;0;kht722_2m;1;1;0;1;0;0;;;;;;;;;
